ItemId,場站名稱,場站英文名稱,場站的總停車格,場站的目前車輛數,資料更新時間(yyyyMMddhhmmss),經度,緯度,擋板數量,空位數量
424,民權復興路口,Minquan & Fuxing Intersection,46,8,20140319132020,25.062344,121.545138,0,38
425,捷運大安站,MRT Daan Sta.,58,7,20140319132016,25.033078,121.543057,0,51
426,捷運象山站,MRT Xiangshan Sta.,58,14,20140319132016,25.032835,121.571274,0,44
427,和平重慶路口,Heping Chongqing Intersection,44,6,20140319132034,25.027323,121.516385,0,38
428,老松國小,Laosong Elementary School,44,24,20140319132009,25.037783,121.501708,0,20
429,市立美術館,Taipei Fine Arts Museum,36,6,20140319132025,25.070629,121.523268,0,30
430,開封西寧路口,Kaifong & Xining Intersection,42,6,20140319132027,25.046618,121.507169,0,36
431,吳興公車總站,Wu Xing Bus Station.,36,0,20140319132018,25.023877,121.569836,0,36
432,捷運景美站,MRT Jingmei Sta.,52,0,20140319132019,24.993254,121.541059,0,52
433,東園國小,Dongyuan Elementary School,36,2,20140319132026,25.023393,121.497679,0,34
434,三民公園,Sanmin Park,30,13,20140319132006,25.061567,121.566558,0,17
435,捷運劍潭站(2號出口),MRT Jiantan Sta.(EXIT. 2),52,45,20140319132007,25.082825,121.524721,0,7
436,羅斯福景隆街口,Roosevelt & Jinglong Intersection,48,0,20140319132006,24.999378,121.540197,0,48
437,捷運雙連站(2號出口),MRT Shuanglian Sta. (Exit 2),42,7,20140319131928,25.057866,121.520711,0,35
438,金山市民路口,Jinshen & Civic Blvd. Intersection,40,28,20140319130342,25.045753,121.530697,0,12
439,華山文創園區,Huashan 1914‧Creative Park,50,6,20140319132021,25.043668,121.528487,0,44
440,臺北市客家文化主題公園,Taipei City Hakka Cultural Park,32,0,20140319132014,25.02043,121.525322,0,32
441,萬大興寧街口,Wanda & Xingning Intersection,52,0,20140319132031,25.031974,121.500474,0,52
442,台北花木批發市場,Taipei Pot Plant Auction,38,2,20140319132011,25.004023,121.54074,0,36
443,峨嵋停車場,Emei Parking Lot,42,8,20140319132011,25.044412,121.505409,0,34
444,西園艋舺路口,Xiyuan & Bangka Intersection,44,10,20140319132006,25.032932,121.497674,0,34
445,捷運小南門站(1號出口),MRT Xiaonanmen Sta. (Exit 1),54,2,20140319132021,25.036402,121.509422,0,52
446,臺北孔廟,Taipei Confucius Temple,32,14,20140319132018,25.073306,121.515843,0,18
447,林安泰古厝,Lin An-tai Historical House,36,23,20140319122849,25.071606,121.530805,0,13
448,文湖國小,Wenhu Elementary School,44,0,20140319132020,25.086376,121.560888,0,44
449,捷運忠孝復興站(2號出口),MRT Zhongxiao Fuxing Sta.(Exit. 2),54,27,20140319132026,25.040184,121.543497,0,26
450,捷運新北投站,MRT Xinbeitou Sta.,48,25,20140319132034,25.137456,121.503124,0,23
451,仁愛逸仙路口,Renai & Yixian Intersection,38,32,20140319132036,25.037724,121.561178,0,6
452,蘭雅公園,Lanya Park,30,20,20140319132034,25.109908,121.530386,0,10
453,臺北轉運站,Taipei Bus Sta.,68,5,20140319132025,25.048222,121.520526,0,62
454,福林公園,Zhicheng St. & Zhongzheng Rd.,44,9,20140319132016,25.096122,121.530215,0,35
455,捷運北投站,MRT Beitou Sta.,58,47,20140319132009,25.132581,121.498618,0,11
456,大業大同街口,Daye & Datong Intersection,36,3,20140319132013,25.136929,121.499152,0,33
457,捷運劍南路站(2號出口),MRT Jiannan Rd. Sta.(Exit 2),56,5,20140319132026,25.08418,121.555116,0,51
458,捷運龍山寺站(1號出口),MRT Longshan Temple Sta. (Exit. 1),46,24,20140319132008,25.035479,121.50026,0,21
459,龍江南京路口,Longjiang & Nanjing Intersection,66,29,20140319132006,25.05298,121.540568,0,37
460,捷運港墘站(2號出口),MRT Gangqian Sta. (Exit 2),50,15,20140319132032,25.079681,121.575458,0,35
461,天母運動公園,Tienmu Sports Park,44,23,20140319132028,25.116325,121.534136,0,21
462,振華公園,Zenhua Park,36,3,20140319132012,25.115863,121.518163,0,33
463,華西公園,Huaxi Park,30,16,20140319132028,25.038609,121.498495,0,14
464,敦化基隆路口,Dunhua & Keelung Intersection,30,10,20140319132024,25.022073,121.548336,0,20
465,東湖國中,Donghu Junior High School,40,21,20140319132029,25.073277,121.619521,0,19
466,成功國宅,Chengong Public Housing,36,3,20140319132022,25.026808,121.546726,0,33
467,捷運文德站(2號出口),MRT Wende Sta. (Exit 2),50,21,20140319132034,25.078292,121.585264,0,29
468,羅斯福寧波東街口,Roosevelt & Ningbo E. St. Intersection,26,4,20140319132014,25.031445,121.519411,0,22
469,洲子二號公園,Zhouzhi Park No.2,34,7,20140319132028,25.079322,121.568688,0,27
470,羅斯福新生南路口,@Roosevelt & Xinsheng S. Intersection,88,6,20140319132027,25.01603085,121.5331757,0,82
471,蘭興公園,@Lanxing Park,40,6,20140319132013,25.111839,121.525888,0,34
472,捷運芝山站(2號出口),MRT Zhishan Sta.(Exit 2),64,4,20140319132020,25.10336,121.522629,0,60
473,捷運石牌站(2號出口),@MRT Shipai Sta. (Exit 2),54,19,20140319132025,25.114513,121.515677,0,35
474,國立臺北護理健康大學,@NTUNHS,30,1,20140319132017,25.118049,121.517512,0,29
475,國防大學,Nat’l Defense U.,46,22,20140319132010,25.137976,121.493066,0,24
476,捷運永春站(2號出口),MRT Yongchun Sta. (Exit 2)	,30,7,20140319132009,25.040558,121.575372,0,23
477,永樂市場,Yongle Market,30,8,20140319132033,25.054501,121.510549,0,22
478,捷運大橋頭站(2號出口),MRT Daqiaotou Sta. (Exit 2),46,7,20140319132009,25.063404,121.512909,0,39
479,文山行政中心,Wenshan Dist. Admin. Center,36,15,20140319132035,24.989902,121.569984,0,21
480,捷運木柵站,MRT Muzha Sta.,52,8,20140319132020,24.997747,121.574214,0,44
481,捷運動物園站(2號出口),MRT Taipei Zoo Sta.(Exit 2),72,18,20140319132020,24.997659,121.578752,0,54
482,國立政治大學,Nat’l Chengchi U.,70,9,20140319132030,24.988363,121.576536,2,59
483,樹德公園,Shude Park,40,8,20140319132012,25.066688,121.516149,0,32
484,捷運士林站(2號出口),MRT Shilin Sta.(Exit 2),46,27,20140319132010,25.092546,121.526556,0,19
485,士林運動中心,Shilin Sports Center,32,7,20140319132023,25.089175,121.521814,0,25
486,捷運明德站,MRT Mingde Sta.,68,3,20140319132020,25.110331,121.518316,0,65
487,北投運動中心,Beitou Sports Center,62,14,20140319132017,25.116665,121.509621,0,48
488,松德公園,Songde Park,38,23,20140319132020,25.036568,121.57343,0,15
489,考試院,Examination Yuan,34,2,20140319132025,24.987507,121.549827,0,32
490,百齡國小,Bailing Elementary School,40,2,20140319132006,25.08521,121.519175,0,38
491,蔣渭水紀念公園,Jiang Wei-shui Memorial Park,40,7,20140319132016,25.059885,121.516299,0,33
